lv_group_id,building_count,classification,diversity_index,intervention_priority,grid_optimization_potential,complementarity_score,overall_score
LV_GROUP_0004,32,standard_monitoring,3.8432973675570654,4.9582445797876415,4.7329365079365076,6.5241906401445195,4.891888013819617
LV_GROUP_0037,94,homogeneous_limited_potential,2.7335305008000055,4.945084056401393,5.769638635596084,6.564688796064684,4.770449853492574
LV_GROUP_0027,14,standard_monitoring,3.5399662340804934,4.535179996002004,4.465079365079365,5.463870091515794,4.4083337603437815
LV_GROUP_0062,34,standard_monitoring,3.077207242772002,4.445694925011674,4.227917833800187,5.921001166638835,4.286654450422907
LV_GROUP_0003,1976,homogeneous_limited_potential,2.5310640595832834,3.9055901859029167,5.205668016194332,6.4416766359790625,4.260465204080539
LV_GROUP_0036,17,standard_monitoring,4.01567951050939,4.447327056444188,3.2521942110177404,4.867507409557009,4.162842294201023
LV_GROUP_0058,10,balanced_opportunity,1.8482977440324655,5.004928486873742,5.25873015873016,5.218419626713516,4.151397826360598
LV_GROUP_0053,8,standard_monitoring,3.675057348501781,3.9789161125321115,3.726984126984127,4.7183033626811355,3.9852495362432205
LV_GROUP_0049,215,homogeneous_limited_potential,2.712477086624543,3.0745758171346553,4.82093023255814,6.225688509068421,3.945439619453072
LV_GROUP_0092,6,homogeneous_limited_potential,2.4100558953758737,4.49999999996,4.528571428571429,4.731482675610667,3.9250275894371818
LV_GROUP_0010,3,homogeneous_limited_potential,1.536003353806834,4.4999999998,5.147619047619049,4.723131500252893,3.7849511156564386
LV_GROUP_0106,16,standard_monitoring,3.2542482562252295,2.9618460727638523,4.1039682539682545,5.1607601490509385,3.7177739793005635
LV_GROUP_0019,4,homogeneous_limited_potential,2.5383957884641495,2.951889438321238,5.163492063492065,5.176998527025871,3.7151836861392034
LV_GROUP_0014,14,standard_monitoring,3.2832955015704024,3.742884657290952,3.3222222222222224,4.504058941368902,3.673110280376631
LV_GROUP_0078,3,homogeneous_limited_potential,0.8496300919468401,4.9396666666666675,5.147619047619049,4.448582195508894,3.656029276209641
LV_GROUP_0088,3,standard_monitoring,3.512357372036737,3.1118333091062453,3.8142857142857145,4.513673107544854,3.652848968709008
LV_GROUP_0028,4,homogeneous_limited_potential,1.1354120790615339,4.499999999933333,5.163492063492065,4.6158050432648245,3.6464830450498376
LV_GROUP_0020,450,homogeneous_limited_potential,1.9447368147131752,1.8440674284690382,5.784444444444445,6.641228059218603,3.6217757736872738
LV_GROUP_0033,8,homogeneous_limited_potential,1.2625989384505318,3.9999999999625,5.226984126984128,4.878319998660636,3.5998405066528623
LV_GROUP_0011,3,homogeneous_limited_potential,1.0245542396731753,4.4999999999,5.147619047619049,4.518551854599428,3.590600452315648
LV_GROUP_0050,7,intervention_opportunity,0.23871786547983764,5.296571428571429,5.211111111111112,4.415857516562305,3.585980513750063
LV_GROUP_0013,4,homogeneous_limited_potential,2.3949582119092643,3.49999999995,4.163492063492064,4.369623496403917,3.4751105755369753
LV_GROUP_0047,7,standard_monitoring,3.1285899369590755,3.028571428571429,3.4968253968253964,4.2860920594397145,3.4037319009121734
LV_GROUP_0086,6,standard_monitoring,3.7355529381442083,2.0822659914170014,3.1952380952380954,4.261681492718,3.2367295964595817
LV_GROUP_0063,3,homogeneous_limited_potential,1.490655363697953,2.5,5.147619047619049,4.70499230420934,3.167718879475064
LV_GROUP_0022,30,homogeneous_limited_potential,1.615085498568853,1.3604999999798444,5.042857142857144,5.783335786729128,3.0579142354818636
LV_GROUP_0076,3,homogeneous_limited_potential,0.4990733015692166,3.2199999999626665,5.147619047619049,4.308359479357845,3.006917695854944
LV_GROUP_0061,4,homogeneous_limited_potential,0.007720880074166938,3.7856249999579377,5.163492063492065,4.164728563669878,3.0036478894420195
LV_GROUP_0120,75,homogeneous_limited_potential,0.913204553558995,0.6500799999864001,6.290476190476191,6.315281821423597,2.9901369684435766
LV_GROUP_0074,3,homogeneous_limited_potential,0.008417937673954061,3.7799999999439997,5.147619047619049,4.11209733379974,2.9884686575691437
LV_GROUP_0046,6,homogeneous_limited_potential,1.1489002738205456,2.1232499999627503,5.195238095238096,4.727020426988535,2.966096786580315
LV_GROUP_0121,36,homogeneous_limited_potential,1.2271996214141925,0.6458579205047176,5.671428571428572,6.345641753327581,2.9653313275269038
LV_GROUP_0077,4,homogeneous_limited_potential,2.474597696435066,1.556884359908558,4.163492063492064,4.401479290214238,2.922438887644348
LV_GROUP_0024,33,homogeneous_limited_potential,0.9991167820946746,1.0377272726811515,5.502597402597403,6.004769367960526,2.9125265705443337
LV_GROUP_0023,11,homogeneous_limited_potential,1.593744056357721,1.2947727272151819,4.910966810966811,4.896780931826398,2.828104583630513
LV_GROUP_0134,37,homogeneous_limited_potential,0.9444865102947925,0.42195945945945945,5.687301587301588,6.285466561789875,2.804487420744568
